months,accuracy,roc_auc,ece,mean_entropy,n_samples
2024-07,0.7528675703858185,0.9378656404685842,0.02118776413894667,0.5426743030548096,959
2024-08,0.7014613778705637,0.9232247487551367,0.06481153040439949,0.5622066855430603,958
2024-09,0.7374301675977654,0.9273828388013968,0.038221707090985185,0.5396954417228699,895
2024-10,0.7376185458377239,0.9280530998622043,0.037866580567947825,0.5422345399856567,949
2024-11,0.745119305856833,0.9372321745519361,0.028639364688618833,0.5523468852043152,922
2024-12,0.7612095933263816,0.9370037436796236,0.025946517308884542,0.5260539054870605,959
2025-01,0.7437759336099585,0.935384137986039,0.030039883006163167,0.5268910527229309,964
2025-02,0.7095238095238096,0.922637793296814,0.0700212391004676,0.5583899617195129,840
2025-03,0.7212581344902386,0.9249348517375022,0.04951807691709596,0.5326030254364014,922
2025-04,0.7524752475247525,0.9326315666768057,0.04439945032100862,0.5229572653770447,909
